year_month,Staff_avg,Cleanliness_avg,Location_avg,Facilities_avg,Comfort_avg,Value for money_avg
2022-08,8.75,7.5,7.5,8.125,6.875,8.125
2022-09,5.833333333333333,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667
2022-10,8.333333333333334,9.166666666666666,8.333333333333334,9.166666666666666,9.166666666666666,8.333333333333334
2022-11,8.75,8.125,9.166666666666666,7.5,7.5,8.125
2022-12,10.0,10.0,10.0,10.0,10.0,10.0
2023-01,5.0,5.0,3.75,5.0,5.0,5.0
2023-02,5.0,5.625,6.875,5.0,5.625,5.625
2023-03,7.5,7.5,7.5,7.5,7.5,7.5
2023-04,7.5,7.142857142857143,6.428571428571429,7.142857142857143,7.142857142857143,6.428571428571429
2023-05,9.166666666666666,8.333333333333334,9.166666666666666,8.333333333333334,9.166666666666666,7.5
2023-06,2.5,3.75,3.75,2.5,3.75,5.0
2023-07,5.0,6.25,10.0,7.5,7.5,6.25
2023-08,6.25,8.75,8.75,7.5,10.0,10.0
2023-09,5.625,6.25,8.125,6.25,7.5,6.25
2023-10,8.333333333333334,8.333333333333334,9.166666666666666,8.333333333333334,9.166666666666666,7.5
2023-12,4.166666666666667,2.5,6.666666666666667,3.3333333333333335,4.166666666666667,5.0
2024-01,8.61111111111111,7.222222222222222,8.055555555555555,6.944444444444445,7.222222222222222,6.944444444444445
2024-02,7.5,8.125,9.375,7.5,7.5,8.125
2024-03,8.0,6.5,8.0,7.5,8.0,8.0
2024-04,10.0,6.25,8.75,6.25,8.75,8.75
2024-05,8.928571428571429,6.785714285714286,8.571428571428571,7.142857142857143,7.5,7.5
2024-06,10.0,7.5,10.0,7.5,7.5,10.0
2024-07,9.166666666666666,7.5,8.333333333333334,7.5,8.333333333333334,9.166666666666666
2024-08,6.5,5.5,6.0,5.5,7.5,5.5
2024-09,5.625,6.25,7.5,5.625,5.625,6.25
2024-10,8.75,8.75,9.375,8.125,8.125,7.5
2024-11,7.5,7.5,8.75,6.25,7.5,7.5
2024-12,7.5,5.833333333333333,7.5,5.833333333333333,5.833333333333333,5.833333333333333
2025-01,8.0,7.5,9.5,7.5,7.5,9.0
2025-02,8.75,7.5,8.75,6.25,7.5,7.5
2025-03,10.0,6.25,8.75,6.25,6.25,6.25
2025-04,7.5,6.666666666666667,7.5,6.666666666666667,7.5,7.5
2025-05,8.125,7.777777777777778,8.4375,7.777777777777778,7.777777777777778,7.777777777777778
2025-06,2.5,5.0,7.5,5.0,7.5,5.0
2025-07,5.0,5.0,7.5,5.0,7.5,3.75
2025-08,5.0,2.5,7.5,2.5,5.0,2.5
