Review score_num,Staff_num,Cleanliness_num,Location_num,Facilities_num,Comfort_num,Value for money_num,overall_num
8,7.5,7.5,7.5,7.5,7.5,7.5,8
6,7.5,5.0,7.5,7.5,5.0,10.0,6
7,10.0,7.5,7.5,7.5,7.5,7.5,7
8,10.0,10.0,7.5,10.0,7.5,7.5,8
6,7.5,7.5,7.5,7.5,7.5,7.5,6
6,5.0,7.5,5.0,7.5,7.5,7.5,6
4,5.0,5.0,7.5,5.0,5.0,5.0,4
10,7.5,7.5,7.5,7.5,7.5,7.5,10
8,7.5,10.0,7.5,10.0,10.0,7.5,8
10,10.0,10.0,10.0,10.0,10.0,10.0,10
10,10.0,10.0,10.0,10.0,10.0,10.0,10
9,10.0,10.0,10.0,10.0,10.0,10.0,9
7,7.5,5.0,,5.0,5.0,5.0,7
7,7.5,7.5,7.5,5.0,5.0,7.5,7
10,10.0,10.0,10.0,10.0,10.0,10.0,10
8,7.5,7.5,7.5,7.5,7.5,7.5,8
1,2.5,2.5,0.0,2.5,2.5,2.5,1
8,7.5,7.5,7.5,7.5,7.5,7.5,8
3,2.5,2.5,7.5,2.5,5.0,5.0,3
5,5.0,5.0,7.5,5.0,5.0,5.0,5
6,5.0,7.5,5.0,5.0,5.0,5.0,6
7,7.5,7.5,7.5,7.5,7.5,7.5,7
5,5.0,5.0,2.5,5.0,7.5,5.0,5
7,10.0,7.5,7.5,7.5,7.5,7.5,7
9,7.5,7.5,7.5,7.5,7.5,7.5,9
10,10.0,10.0,10.0,10.0,7.5,7.5,10
7,2.5,2.5,2.5,2.5,2.5,2.5,7
8,7.5,7.5,7.5,7.5,7.5,7.5,8
9,10.0,10.0,7.5,10.0,10.0,7.5,9
10,10.0,10.0,10.0,10.0,10.0,10.0,10
10,10.0,10.0,10.0,10.0,10.0,10.0,10
1,7.5,5.0,7.5,5.0,7.5,2.5,1
10,0.0,0.0,0.0,0.0,0.0,0.0,10
6,5.0,7.5,7.5,5.0,7.5,10.0,6
5,7.5,2.5,10.0,5.0,5.0,2.5,5
7,2.5,10.0,10.0,10.0,10.0,10.0,7
5,2.5,7.5,7.5,5.0,10.0,10.0,5
10,10.0,10.0,10.0,10.0,10.0,10.0,10
5,5.0,2.5,5.0,5.0,7.5,5.0,5
7,7.5,7.5,10.0,7.5,7.5,10.0,7
8,5.0,10.0,10.0,10.0,10.0,7.5,8
3,5.0,5.0,7.5,2.5,5.0,2.5,3
8,10.0,10.0,7.5,10.0,10.0,7.5,8
10,10.0,10.0,10.0,10.0,10.0,10.0,10
5,5.0,5.0,10.0,5.0,7.5,5.0,5
4,5.0,2.5,10.0,2.5,5.0,5.0,4
1,2.5,2.5,2.5,2.5,2.5,2.5,1
5,5.0,2.5,7.5,5.0,5.0,7.5,5
10,10.0,10.0,10.0,10.0,10.0,10.0,10
8,10.0,7.5,7.5,7.5,7.5,7.5,8
5,5.0,5.0,7.5,2.5,5.0,2.5,5
10,10.0,10.0,10.0,10.0,10.0,10.0,10
7,5.0,5.0,5.0,5.0,5.0,5.0,7
9,10.0,7.5,7.5,7.5,7.5,7.5,9
6,7.5,5.0,7.5,5.0,5.0,7.5,6
10,10.0,10.0,10.0,10.0,10.0,10.0,10
4,10.0,5.0,7.5,5.0,5.0,2.5,4
8,7.5,10.0,7.5,7.5,7.5,10.0,8
10,10.0,10.0,10.0,10.0,10.0,10.0,10
2,2.5,2.5,10.0,2.5,2.5,2.5,2
10,10.0,10.0,10.0,10.0,10.0,10.0,10
8,10.0,7.5,7.5,7.5,10.0,10.0,8
8,5.0,5.0,7.5,7.5,7.5,5.0,8
8,10.0,10.0,10.0,10.0,10.0,10.0,8
5,7.5,5.0,7.5,5.0,7.5,7.5,5
6,7.5,5.0,7.5,7.5,5.0,7.5,6
8,10.0,5.0,7.5,5.0,7.5,7.5,8
8,10.0,7.5,10.0,7.5,10.0,10.0,8
7,7.5,7.5,7.5,7.5,7.5,7.5,7
5,7.5,5.0,7.5,5.0,5.0,5.0,5
9,10.0,7.5,7.5,7.5,7.5,10.0,9
9,10.0,7.5,10.0,7.5,10.0,10.0,9
7,10.0,7.5,7.5,7.5,7.5,7.5,7
8,10.0,5.0,10.0,7.5,7.5,7.5,8
7,7.5,7.5,10.0,7.5,7.5,5.0,7
10,10.0,10.0,10.0,10.0,10.0,10.0,10
6,10.0,5.0,10.0,5.0,5.0,10.0,6
7,10.0,7.5,10.0,7.5,7.5,10.0,7
7,10.0,7.5,7.5,7.5,7.5,10.0,7
5,7.5,5.0,7.5,5.0,7.5,7.5,5
10,10.0,10.0,10.0,10.0,10.0,10.0,10
7,7.5,7.5,7.5,7.5,7.5,7.5,7
9,0.0,0.0,0.0,0.0,7.5,0.0,9
8,7.5,7.5,7.5,7.5,7.5,7.5,8
8,10.0,7.5,10.0,7.5,7.5,7.5,8
5,7.5,5.0,5.0,5.0,7.5,5.0,5
1,2.5,2.5,5.0,2.5,2.5,2.5,1
9,7.5,7.5,7.5,7.5,7.5,7.5,9
10,10.0,7.5,10.0,7.5,7.5,7.5,10
4,2.5,7.5,7.5,5.0,5.0,7.5,4
9,10.0,10.0,10.0,10.0,10.0,10.0,9
8,7.5,10.0,10.0,10.0,10.0,7.5,8
7,10.0,7.5,10.0,5.0,5.0,5.0,7
8,7.5,7.5,7.5,7.5,7.5,7.5,8
4,5.0,5.0,7.5,2.5,5.0,5.0,4
10,10.0,10.0,10.0,10.0,10.0,10.0,10
1,5.0,2.5,5.0,2.5,2.5,2.5,1
9,10.0,7.5,7.5,7.5,7.5,7.5,9
8,7.5,7.5,10.0,7.5,7.5,7.5,8
4,0.0,5.0,7.5,5.0,5.0,5.0,4
10,10.0,10.0,10.0,10.0,10.0,10.0,10
9,10.0,7.5,10.0,7.5,7.5,10.0,9
9,10.0,7.5,10.0,7.5,7.5,10.0,9
9,10.0,7.5,10.0,7.5,7.5,10.0,9
8,10.0,7.5,10.0,7.5,7.5,7.5,8
5,7.5,7.5,7.5,5.0,7.5,7.5,5
7,10.0,7.5,10.0,7.5,10.0,7.5,7
5,10.0,5.0,7.5,5.0,2.5,5.0,5
1,2.5,2.5,2.5,2.5,2.5,2.5,1
10,10.0,7.5,10.0,7.5,10.0,10.0,10
10,10.0,10.0,10.0,10.0,10.0,10.0,10
10,10.0,7.5,10.0,7.5,10.0,10.0,10
10,10.0,10.0,10.0,10.0,10.0,10.0,10
6,5.0,7.5,7.5,7.5,5.0,7.5,6
2,,2.5,,2.5,2.5,2.5,2
9,7.5,7.5,5.0,7.5,10.0,7.5,9
10,7.5,10.0,10.0,10.0,7.5,7.5,10
7,7.5,7.5,7.5,7.5,7.5,7.5,7
10,10.0,10.0,10.0,10.0,10.0,10.0,10
7,7.5,7.5,7.5,7.5,7.5,7.5,7
5,2.5,5.0,7.5,5.0,7.5,5.0,5
6,5.0,7.5,7.5,7.5,7.5,7.5,6
3,5.0,2.5,7.5,2.5,7.5,0.0,3
1,5.0,2.5,7.5,2.5,5.0,2.5,1
